frame,n_worms,mean_length,mean_width,mean_volume,mean_area_xz,total_volume
0,0,,,,,0.0
10,6,0.0842012811111111,0.005559575186397447,7.597069784850002e-06,6.294043667600181e-05,4.558241870910001e-05
20,142,0.10653228734741783,0.005614071958984354,8.418588282411972e-06,5.4767054664446525e-05,0.0011954395361025
30,215,0.11023483951937985,0.005976643949647181,8.977938305935813e-06,5.4896577200642084e-05,0.0019302567357762
40,289,0.11350187317185699,0.006101063062227206,9.88173952683322e-06,5.523007857954904e-05,0.0028558227232548003
50,327,0.1193455404077472,0.006143067524040035,1.0300477467525691e-05,5.405522399278355e-05,0.0033682561318809008
60,359,0.12334594239554318,0.006163238745004762,1.0441177737269916e-05,5.168992530805695e-05,0.0037483828076799
70,375,0.12617344960888888,0.0061832584133131715,1.0747337945728802e-05,5.042686168686412e-05,0.0040302517296483
80,363,0.13815696273645545,0.006124178648253657,1.1674158497826448e-05,5.0085764016677126e-05,0.004237719534711
90,367,0.1380703273569482,0.00613445890688456,1.1784728035341417e-05,4.959279919190706e-05,0.0043249951889703
100,362,0.13909972987108654,0.006197562183110868,1.2277670693240882e-05,4.995506382301619e-05,0.0044445167909531996
110,355,0.14740298033802818,0.006116714117751621,1.2628816364854647e-05,4.8178526177584026e-05,0.0044832298095234
120,355,0.15319816071361503,0.006032645917894977,1.2704539061078875e-05,4.698388086046279e-05,0.004510111366683001
130,349,0.15752576541547278,0.006143540694980142,1.3258934108197994e-05,4.8782221266444675e-05,0.0046273680037611
140,352,0.15570233384469698,0.0060824536372065885,1.3110160758581251e-05,4.806983533635573e-05,0.004614776587020601
150,349,0.15696613146131805,0.0061526855200698515,1.3270462168149285e-05,4.830845714833522e-05,0.0046313912966841
160,348,0.16185473774904213,0.005998923007603881,1.3442491348179311e-05,4.75988392242186e-05,0.0046779869891664
170,334,0.16363346070858284,0.006138419027399071,1.3964145726392515e-05,4.846333484177035e-05,0.0046640246726151
180,331,0.16325193101711985,0.006170601115950076,1.4068109752251663e-05,4.86502579712279e-05,0.0046565443279953005
190,324,0.1698975448765432,0.006089484999472571,1.4414638063619447e-05,4.8364954980074985e-05,0.004670342732612701
200,336,0.16585265229166665,0.006061226384227297,1.396240524823393e-05,4.789825918986011e-05,0.0046913681634066
210,328,0.1666902719004065,0.0061501520425659975,1.4238531783592686e-05,4.851459399963075e-05,0.004670238425018401
220,316,0.17152041600210968,0.0062938244259241275,1.4948428853289875e-05,4.990645941438146e-05,0.0047237035176396006
230,312,0.16977976398504274,0.006302037198429007,1.4999900107237502e-05,4.9804799184429286e-05,0.004679968833458101
240,319,0.16896040285266456,0.006160791111171583,1.479808523791693e-05,4.920645293594426e-05,0.004720589190895501
250,313,0.16923733662406815,0.006140239420545536,1.5029719824600001e-05,4.922353504157053e-05,0.0047043023050998
260,307,0.17476735230184584,0.0061852458979304945,1.5394713673397396e-05,4.938531485393875e-05,0.004726177097733
270,302,0.17323722306843267,0.006284306427279746,1.5483066013892385e-05,4.978376856346612e-05,0.004675885936195501
280,301,0.17775793968992248,0.006189045494785048,1.5570990152049173e-05,4.9528503890174314e-05,0.004686868035766801
290,312,0.17299323476495723,0.006156307091675216,1.52608601325375e-05,4.8142028153465894e-05,0.0047613883613517
300,302,0.17682441494481235,0.006221088682567603,1.563809650646126e-05,4.880611313636137e-05,0.004722705144951301
310,291,0.17952618773195878,0.00626650911126614,1.6218064290182474e-05,5.032852762209658e-05,0.0047194567084431
320,303,0.1776847285588559,0.006089727259332032,1.557419100239703e-05,4.924634992705551e-05,0.0047189798737263
330,298,0.17456633136465324,0.006128151928027374,1.5665640564835573e-05,5.053610720235285e-05,0.004668360888321001
340,295,0.17693303623728815,0.006193341307551286,1.5815152806272542e-05,5.051959149067385e-05,0.0046654700778504
350,316,0.16885856550632908,0.0061977366699814095,1.499115158404747e-05,4.9598138163811055e-05,0.004737203900559
360,304,0.16950190748903507,0.006257949937136077,1.532336400004441e-05,4.999265874974392e-05,0.0046583026560135
