frame,event,worms_before,worms_after
10,appear,[],[np.int32(1)]
10,appear,[],[np.int32(2)]
10,appear,[],[np.int32(3)]
10,appear,[],[np.int32(4)]
10,appear,[],[np.int32(5)]
10,appear,[],[np.int32(6)]
20,appear,[],[np.int32(1)]
20,appear,[],[np.int32(2)]
20,appear,[],[np.int32(3)]
20,appear,[],[np.int32(4)]
20,appear,[],[np.int32(5)]
20,appear,[],[np.int32(6)]
20,appear,[],[np.int32(7)]
20,appear,[],[np.int32(9)]
20,appear,[],[np.int32(10)]
20,appear,[],[np.int32(11)]
20,disappear,[np.int32(1)],[]
20,disappear,[np.int32(2)],[]
20,disappear,[np.int32(3)],[]
20,disappear,[np.int32(4)],[]
20,disappear,[np.int32(6)],[]
30,appear,[],[np.int32(1)]
30,appear,[],[np.int32(3)]
30,appear,[],[np.int32(4)]
30,appear,[],[np.int32(5)]
30,appear,[],[np.int32(6)]
30,appear,[],[np.int32(7)]
30,appear,[],[np.int32(8)]
30,appear,[],[np.int32(9)]
30,appear,[],[np.int32(10)]
30,appear,[],[np.int32(11)]
30,appear,[],[np.int32(12)]
30,appear,[],[np.int32(13)]
30,appear,[],[np.int32(14)]
30,appear,[],[np.int32(15)]
30,appear,[],[np.int32(16)]
30,appear,[],[np.int32(17)]
30,appear,[],[np.int32(19)]
30,appear,[],[np.int32(20)]
30,appear,[],[np.int32(21)]
30,appear,[],[np.int32(22)]
30,appear,[],[np.int32(23)]
30,appear,[],[np.int32(24)]
30,appear,[],[np.int32(25)]
30,appear,[],[np.int32(26)]
30,appear,[],[np.int32(27)]
30,appear,[],[np.int32(28)]
30,appear,[],[np.int32(29)]
30,appear,[],[np.int32(30)]
30,disappear,[np.int32(2)],[]
30,disappear,[np.int32(3)],[]
30,disappear,[np.int32(4)],[]
30,disappear,[np.int32(5)],[]
30,disappear,[np.int32(6)],[]
30,disappear,[np.int32(7)],[]
30,disappear,[np.int32(9)],[]
30,disappear,[np.int32(10)],[]
30,disappear,[np.int32(11)],[]
40,appear,[],[np.int32(1)]
40,appear,[],[np.int32(2)]
40,appear,[],[np.int32(3)]
40,appear,[],[np.int32(4)]
40,appear,[],[np.int32(5)]
40,appear,[],[np.int32(6)]
40,appear,[],[np.int32(7)]
40,appear,[],[np.int32(9)]
40,appear,[],[np.int32(10)]
40,appear,[],[np.int32(11)]
40,appear,[],[np.int32(12)]
40,appear,[],[np.int32(14)]
40,appear,[],[np.int32(15)]
40,appear,[],[np.int32(17)]
40,appear,[],[np.int32(18)]
40,appear,[],[np.int32(19)]
40,appear,[],[np.int32(20)]
40,disappear,[np.int32(1)],[]
40,disappear,[np.int32(2)],[]
40,disappear,[np.int32(3)],[]
40,disappear,[np.int32(4)],[]
40,disappear,[np.int32(5)],[]
40,disappear,[np.int32(6)],[]
40,disappear,[np.int32(7)],[]
40,disappear,[np.int32(8)],[]
40,disappear,[np.int32(9)],[]
40,disappear,[np.int32(10)],[]
40,disappear,[np.int32(11)],[]
40,disappear,[np.int32(12)],[]
40,disappear,[np.int32(13)],[]
40,disappear,[np.int32(14)],[]
40,disappear,[np.int32(15)],[]
