frame,event,worms_before,worms_after
10,appear,[],[np.int32(1)]
10,appear,[],[np.int32(2)]
10,appear,[],[np.int32(3)]
10,appear,[],[np.int32(4)]
10,appear,[],[np.int32(5)]
20,appear,[],[np.int32(1)]
20,appear,[],[np.int32(2)]
20,disappear,[np.int32(1)],[]
20,disappear,[np.int32(2)],[]
20,disappear,[np.int32(4)],[]
20,disappear,[np.int32(5)],[]
30,appear,[],[np.int32(1)]
30,appear,[],[np.int32(2)]
30,appear,[],[np.int32(3)]
30,appear,[],[np.int32(4)]
30,appear,[],[np.int32(5)]
30,appear,[],[np.int32(6)]
30,appear,[],[np.int32(7)]
30,appear,[],[np.int32(8)]
30,appear,[],[np.int32(9)]
30,disappear,[np.int32(1)],[]
30,disappear,[np.int32(2)],[]
30,disappear,[np.int32(3)],[]
40,appear,[],[np.int32(1)]
40,appear,[],[np.int32(2)]
40,disappear,[np.int32(1)],[]
40,disappear,[np.int32(2)],[]
40,disappear,[np.int32(3)],[]
40,disappear,[np.int32(4)],[]
40,disappear,[np.int32(5)],[]
40,disappear,[np.int32(6)],[]
40,disappear,[np.int32(7)],[]
40,disappear,[np.int32(9)],[]
50,appear,[],[np.int32(1)]
50,appear,[],[np.int32(2)]
50,appear,[],[np.int32(3)]
50,appear,[],[np.int32(4)]
50,appear,[],[np.int32(5)]
50,disappear,[np.int32(1)],[]
50,disappear,[np.int32(2)],[]
50,disappear,[np.int32(3)],[]
60,appear,[],[np.int32(1)]
60,appear,[],[np.int32(2)]
60,appear,[],[np.int32(3)]
60,appear,[],[np.int32(4)]
60,appear,[],[np.int32(5)]
60,appear,[],[np.int32(6)]
60,appear,[],[np.int32(7)]
60,appear,[],[np.int32(8)]
60,disappear,[np.int32(1)],[]
60,disappear,[np.int32(2)],[]
60,disappear,[np.int32(3)],[]
60,disappear,[np.int32(4)],[]
60,disappear,[np.int32(5)],[]
70,appear,[],[np.int32(1)]
70,appear,[],[np.int32(2)]
70,appear,[],[np.int32(3)]
70,appear,[],[np.int32(5)]
70,appear,[],[np.int32(6)]
70,appear,[],[np.int32(7)]
70,disappear,[np.int32(1)],[]
70,disappear,[np.int32(2)],[]
70,disappear,[np.int32(3)],[]
70,disappear,[np.int32(4)],[]
70,disappear,[np.int32(5)],[]
70,disappear,[np.int32(6)],[]
70,disappear,[np.int32(7)],[]
80,appear,[],[np.int32(1)]
80,appear,[],[np.int32(2)]
80,disappear,[np.int32(1)],[]
80,disappear,[np.int32(2)],[]
80,disappear,[np.int32(3)],[]
80,disappear,[np.int32(4)],[]
80,disappear,[np.int32(5)],[]
80,disappear,[np.int32(7)],[]
90,appear,[],[np.int32(2)]
90,disappear,[np.int32(1)],[]
100,appear,[],[np.int32(2)]
100,appear,[],[np.int32(3)]
100,disappear,[np.int32(2)],[]
110,appear,[],[np.int32(2)]
110,appear,[],[np.int32(3)]
110,appear,[],[np.int32(5)]
110,disappear,[np.int32(2)],[]
110,disappear,[np.int32(4)],[]
120,appear,[],[np.int32(1)]
120,disappear,[np.int32(1)],[]
120,disappear,[np.int32(3)],[]
120,disappear,[np.int32(4)],[]
130,disappear,[np.int32(2)],[]
130,disappear,[np.int32(3)],[]
140,appear,[],[np.int32(2)]
140,appear,[],[np.int32(3)]
140,appear,[],[np.int32(4)]
150,appear,[],[np.int32(1)]
150,appear,[],[np.int32(2)]
150,appear,[],[np.int32(6)]
150,disappear,[np.int32(4)],[]
160,appear,[],[np.int32(1)]
160,appear,[],[np.int32(4)]
160,appear,[],[np.int32(5)]
160,disappear,[np.int32(1)],[]
160,disappear,[np.int32(2)],[]
160,disappear,[np.int32(5)],[]
160,disappear,[np.int32(6)],[]
170,appear,[],[np.int32(3)]
170,appear,[],[np.int32(5)]
170,appear,[],[np.int32(6)]
170,disappear,[np.int32(1)],[]
170,disappear,[np.int32(5)],[]
180,appear,[],[np.int32(1)]
180,appear,[],[np.int32(2)]
180,appear,[],[np.int32(5)]
180,disappear,[np.int32(3)],[]
180,disappear,[np.int32(4)],[]
180,disappear,[np.int32(5)],[]
180,disappear,[np.int32(6)],[]
190,appear,[],[np.int32(3)]
190,disappear,[np.int32(2)],[]
190,disappear,[np.int32(4)],[]
190,disappear,[np.int32(5)],[]
200,appear,[],[np.int32(1)]
200,appear,[],[np.int32(2)]
200,appear,[],[np.int32(3)]
200,disappear,[np.int32(1)],[]
200,disappear,[np.int32(2)],[]
200,disappear,[np.int32(3)],[]
210,appear,[],[np.int32(1)]
210,appear,[],[np.int32(4)]
210,appear,[],[np.int32(5)]
210,disappear,[np.int32(1)],[]
