frame,event,worms_before,worms_after
10,appear,[],[np.int32(1)]
10,appear,[],[np.int32(2)]
10,appear,[],[np.int32(3)]
10,appear,[],[np.int32(4)]
10,appear,[],[np.int32(5)]
10,appear,[],[np.int32(6)]
10,appear,[],[np.int32(7)]
10,appear,[],[np.int32(8)]
20,appear,[],[np.int32(1)]
20,appear,[],[np.int32(2)]
20,appear,[],[np.int32(3)]
20,appear,[],[np.int32(4)]
20,appear,[],[np.int32(5)]
20,appear,[],[np.int32(6)]
20,appear,[],[np.int32(7)]
20,appear,[],[np.int32(8)]
20,appear,[],[np.int32(9)]
20,appear,[],[np.int32(10)]
20,appear,[],[np.int32(11)]
20,appear,[],[np.int32(12)]
20,appear,[],[np.int32(13)]
20,appear,[],[np.int32(14)]
20,appear,[],[np.int32(15)]
20,appear,[],[np.int32(16)]
20,appear,[],[np.int32(17)]
20,appear,[],[np.int32(18)]
20,appear,[],[np.int32(19)]
20,appear,[],[np.int32(20)]
20,appear,[],[np.int32(21)]
20,appear,[],[np.int32(22)]
20,appear,[],[np.int32(23)]
20,appear,[],[np.int32(24)]
20,appear,[],[np.int32(25)]
20,appear,[],[np.int32(26)]
20,appear,[],[np.int32(27)]
20,appear,[],[np.int32(28)]
20,appear,[],[np.int32(29)]
20,appear,[],[np.int32(30)]
20,appear,[],[np.int32(31)]
20,appear,[],[np.int32(33)]
20,appear,[],[np.int32(34)]
20,appear,[],[np.int32(35)]
20,appear,[],[np.int32(36)]
20,appear,[],[np.int32(37)]
20,appear,[],[np.int32(38)]
20,appear,[],[np.int32(39)]
20,appear,[],[np.int32(40)]
20,appear,[],[np.int32(41)]
20,appear,[],[np.int32(42)]
20,appear,[],[np.int32(43)]
20,appear,[],[np.int32(44)]
20,appear,[],[np.int32(45)]
20,appear,[],[np.int32(46)]
20,appear,[],[np.int32(47)]
20,appear,[],[np.int32(48)]
20,appear,[],[np.int32(49)]
20,appear,[],[np.int32(50)]
20,appear,[],[np.int32(51)]
20,appear,[],[np.int32(52)]
20,appear,[],[np.int32(53)]
20,appear,[],[np.int32(54)]
20,appear,[],[np.int32(55)]
20,appear,[],[np.int32(56)]
20,appear,[],[np.int32(57)]
20,appear,[],[np.int32(58)]
20,appear,[],[np.int32(59)]
20,appear,[],[np.int32(60)]
20,appear,[],[np.int32(61)]
20,appear,[],[np.int32(62)]
20,appear,[],[np.int32(63)]
20,appear,[],[np.int32(64)]
20,appear,[],[np.int32(65)]
20,appear,[],[np.int32(66)]
20,appear,[],[np.int32(67)]
20,appear,[],[np.int32(68)]
20,appear,[],[np.int32(69)]
20,appear,[],[np.int32(70)]
20,appear,[],[np.int32(71)]
20,appear,[],[np.int32(72)]
20,appear,[],[np.int32(73)]
20,appear,[],[np.int32(74)]
20,appear,[],[np.int32(75)]
20,appear,[],[np.int32(76)]
20,appear,[],[np.int32(77)]
20,appear,[],[np.int32(78)]
20,appear,[],[np.int32(79)]
20,appear,[],[np.int32(80)]
20,appear,[],[np.int32(82)]
20,appear,[],[np.int32(84)]
20,appear,[],[np.int32(85)]
20,appear,[],[np.int32(86)]
20,appear,[],[np.int32(87)]
