frame,n_worms,mean_length,var_length,mean_width,var_width,mean_volume,var_volume,mean_area_xz,var_area_xz,total_volume
0,0,,,,,,,,,0.0
10,8,0.09667956375,0.000508503898810357,0.006287707161304567,3.219678395914047e-07,1.1693626375275e-05,1.6936231231552246e-11,0.00010351149800640271,1.5837983763000553e-09,9.35490110022e-05
20,89,0.10176719183520598,0.00038443183265299616,0.006336156139445671,1.2369692401503771e-06,1.1955358071566292e-05,2.2213471067281398e-11,8.348624391563138e-05,7.676181704266758e-10,0.0010640268683694
30,135,0.11658935693827159,0.0017684907182634465,0.006881465621343089,1.5089769114575738e-06,1.5430349359966666e-05,5.824720432931293e-11,9.076469036121017e-05,1.3493720996097578e-09,0.0020830971635955
40,141,0.11567287203309694,0.001208604997131328,0.007556342433831388,2.2727837803341364e-06,1.815353730342128e-05,8.52446801796957e-11,9.841455035246898e-05,1.602696676277896e-09,0.0025596487597824005
50,140,0.119307883,0.0014571884957200985,0.00756826418591831,2.701852863044388e-06,1.9820252334452148e-05,1.5649732148606128e-10,0.00010291514205443801,2.303235484527752e-09,0.002774835326823301
60,124,0.12373976096774193,0.0018929653894602218,0.008276412911868111,3.5129491840884645e-06,2.501988290741613e-05,2.368030906677079e-10,0.00012342905150716034,3.7223207428764817e-09,0.0031024654805196
70,115,0.13806594646376813,0.002194521468856888,0.008430823228955643,4.665013354114439e-06,2.967907388126087e-05,3.9287685128675246e-10,0.00013137760657196468,5.55390091136149e-09,0.003413093496345
80,117,0.1309426742735043,0.0021877710632219748,0.008653842358800293,5.049884967956616e-06,3.0097516944300002e-05,4.563777972327138e-10,0.00013262449743340013,4.654089362802667e-09,0.0035214094824831004
90,106,0.1363500613207547,0.003436456340826235,0.009116673250010263,4.300429420161747e-06,3.367335919600188e-05,6.172725789011377e-10,0.00014523971315902635,4.986672375870874e-09,0.0035693760747761995
100,116,0.13763901204022985,0.00389860376200039,0.008748137619410543,3.8663440254518875e-06,3.2099249111912066e-05,5.805884779157636e-10,0.00013835238222196228,5.057813956721339e-09,0.0037235128969818
110,110,0.1394174351818182,0.004305011615380975,0.008821593845135985,4.260345400434217e-06,3.206063241320728e-05,5.54369399248649e-10,0.00013611253488886362,4.6119239146766374e-09,0.0035266695654528005
120,113,0.14329812041297935,0.004902716323227586,0.008749272716471032,4.869252153462137e-06,3.291807896019558e-05,7.296770367592782e-10,0.00013431369037485155,5.063717569488106e-09,0.0037197429225021
130,111,0.1314046741441441,0.0018935379762520784,0.009210406857680046,4.604595474094635e-06,3.268492563011352e-05,5.325947355353447e-10,0.00014294209129662978,4.910423490361725e-09,0.0036280267449426006
140,112,0.13267282125,0.0032594570887011787,0.009157888100010739,4.649710030689891e-06,3.257962558903929e-05,6.088384652644247e-10,0.00014245947713657106,5.558520368684188e-09,0.0036489180659724004
150,101,0.14242968567656766,0.0030766716178268223,0.009263266509482067,5.393981028087183e-06,3.602728243634258e-05,7.51820692621282e-10,0.0001471801394545026,6.37587273102946e-09,0.0036387555260706007
160,107,0.13103565781931464,0.0023960521633496017,0.009163591137877592,5.137323567026651e-06,3.4097581600519626e-05,7.285675943670818e-10,0.00014622121912643722,6.1612134517939785e-09,0.0036484412312556003
170,113,0.13663791507374629,0.003110492650921657,0.008985899635277086,4.67099212628616e-06,3.295658441852124e-05,6.415967801369185e-10,0.00014101597085407392,5.51748202445866e-09,0.0037240940392929004
180,104,0.1428533828525641,0.004357967247175424,0.009340402575432718,4.917173525118751e-06,3.58490013964875e-05,7.961024401078192e-10,0.00014716408107824365,6.600122242111394e-09,0.0037282961452347004
190,115,0.1377036280869565,0.002429519927031694,0.008904894722687403,5.146836892005874e-06,3.295770128321479e-05,5.782928568166162e-10,0.00014439375973157963,6.865280467622569e-09,0.0037901356475697006
200,98,0.13631997857142855,0.0028511108317600528,0.00921913573906271,4.455154611106793e-06,3.439550524636836e-05,6.729522832725523e-10,0.00014683652973113246,7.496236208469964e-09,0.0033707595141440998
210,100,0.1381508648333333,0.005193986022735782,0.0090867030767587,3.857371267163195e-06,3.4219149386058e-05,9.264612074373395e-10,0.00013948648892978134,6.03195030601908e-09,0.0034219149386058
220,113,0.13442552852507375,0.0028505184023434813,0.00880596008510406,5.222623609051335e-06,3.3196320457000886e-05,7.925621781668934e-10,0.00013996455956437993,6.9656609772238825e-09,0.0037511842116411003
230,119,0.13489128392156863,0.003006069133794033,0.008705999817024426,4.968177668424037e-06,3.214765065094034e-05,6.450043411586395e-10,0.00013954798157338302,7.361809121962031e-09,0.0038255704274619004
240,121,0.13502909713498623,0.003730782590226497,0.008638228420177557,4.806889880208808e-06,3.088576191599257e-05,6.10502829563731e-10,0.0001322901115854208,5.955979788521503e-09,0.003737177191835101
250,130,0.13509598092307692,0.004694702366932757,0.008662223025730446,3.915059705951397e-06,2.9373247802340003e-05,6.027899314991134e-10,0.00012714768896928688,5.293183967668907e-09,0.0038185222143042002
260,110,0.14524129136363637,0.004708549628170071,0.008741067072886705,3.549988516442587e-06,3.2352558212839096e-05,6.927622797863426e-10,0.00013384990386676728,4.468716536149288e-09,0.0035587814034123005
270,117,0.14058030438746438,0.0036418699265704626,0.008869697345030668,4.5773130213521056e-06,3.31114842448e-05,6.785686822423215e-10,0.00013852946036835975,5.780437254379976e-09,0.0038740436566416002
280,114,0.14236092888888888,0.003721234532946116,0.008854228725682908,4.935448049539177e-06,3.3832521131636844e-05,8.361972683553854e-10,0.0001403708152961256,6.6401136661868386e-09,0.0038569074090066
290,105,0.14471707666666664,0.006905413452392267,0.008962470729122724,5.350462168716494e-06,3.514782757155429e-05,1.0966359239269838e-09,0.0001362796791271797,6.543403807680203e-09,0.0036905218950132003
300,108,0.14561613305555557,0.006823133072441084,0.009331184890162325,5.354764072304736e-06,3.7558874355491664e-05,1.1449744679913535e-09,0.00014575079871954405,7.484031858449468e-09,0.0040563584303931
