frame,event,worms_before,worms_after
10,appear,[],[np.int32(1)]
10,appear,[],[np.int32(2)]
10,appear,[],[np.int32(3)]
10,appear,[],[np.int32(4)]
10,appear,[],[np.int32(5)]
10,appear,[],[np.int32(6)]
10,appear,[],[np.int32(7)]
20,appear,[],[np.int32(2)]
20,appear,[],[np.int32(3)]
20,appear,[],[np.int32(4)]
20,appear,[],[np.int32(5)]
20,appear,[],[np.int32(6)]
20,appear,[],[np.int32(7)]
20,appear,[],[np.int32(8)]
20,disappear,[np.int32(2)],[]
20,disappear,[np.int32(3)],[]
20,disappear,[np.int32(4)],[]
20,disappear,[np.int32(5)],[]
20,disappear,[np.int32(6)],[]
20,disappear,[np.int32(7)],[]
30,appear,[],[np.int32(1)]
30,appear,[],[np.int32(2)]
30,appear,[],[np.int32(3)]
30,appear,[],[np.int32(4)]
30,appear,[],[np.int32(6)]
30,appear,[],[np.int32(7)]
30,appear,[],[np.int32(8)]
30,appear,[],[np.int32(9)]
30,appear,[],[np.int32(10)]
30,appear,[],[np.int32(11)]
30,disappear,[np.int32(2)],[]
30,disappear,[np.int32(3)],[]
30,disappear,[np.int32(4)],[]
30,disappear,[np.int32(5)],[]
30,disappear,[np.int32(6)],[]
30,disappear,[np.int32(7)],[]
30,disappear,[np.int32(8)],[]
40,appear,[],[np.int32(1)]
40,appear,[],[np.int32(2)]
40,appear,[],[np.int32(4)]
40,appear,[],[np.int32(5)]
40,appear,[],[np.int32(6)]
40,appear,[],[np.int32(7)]
40,appear,[],[np.int32(8)]
40,appear,[],[np.int32(9)]
40,appear,[],[np.int32(10)]
40,appear,[],[np.int32(11)]
40,appear,[],[np.int32(12)]
40,appear,[],[np.int32(13)]
40,appear,[],[np.int32(14)]
40,appear,[],[np.int32(16)]
40,disappear,[np.int32(1)],[]
40,disappear,[np.int32(2)],[]
40,disappear,[np.int32(4)],[]
40,disappear,[np.int32(5)],[]
40,disappear,[np.int32(6)],[]
40,disappear,[np.int32(7)],[]
40,disappear,[np.int32(8)],[]
40,disappear,[np.int32(9)],[]
40,disappear,[np.int32(10)],[]
50,appear,[],[np.int32(1)]
50,appear,[],[np.int32(2)]
50,appear,[],[np.int32(3)]
50,appear,[],[np.int32(6)]
50,appear,[],[np.int32(7)]
50,appear,[],[np.int32(8)]
50,appear,[],[np.int32(11)]
50,appear,[],[np.int32(13)]
50,disappear,[np.int32(1)],[]
50,disappear,[np.int32(2)],[]
50,disappear,[np.int32(3)],[]
50,disappear,[np.int32(4)],[]
50,disappear,[np.int32(7)],[]
50,disappear,[np.int32(9)],[]
50,disappear,[np.int32(10)],[]
50,disappear,[np.int32(11)],[]
50,disappear,[np.int32(13)],[]
50,disappear,[np.int32(14)],[]
50,disappear,[np.int32(16)],[]
60,appear,[],[np.int32(1)]
60,appear,[],[np.int32(5)]
60,appear,[],[np.int32(6)]
60,appear,[],[np.int32(7)]
60,disappear,[np.int32(3)],[]
60,disappear,[np.int32(5)],[]
60,disappear,[np.int32(6)],[]
60,disappear,[np.int32(7)],[]
60,disappear,[np.int32(8)],[]
60,disappear,[np.int32(9)],[]
60,disappear,[np.int32(10)],[]
